real,predicted,laptime_s,tyre_life,position,compound,ers_status,superclipping_duration,race,lap,race_progress
-0.20300000000000296,-0.2144400000000013,112.012,22.0,6,SOFT,CRÍTICO,5.43,Belgian Grand Prix,44,1.0
3.9639999999999986,3.964929999999995,105.509,4.0,16,HARD,CRÍTICO,6.58,United States Grand Prix,26,0.3611111111111111
0.13900000000001,7.224970000000009,83.677,7.0,17,MEDIUM,CRÍTICO,6.44,Mexico City Grand Prix,7,0.0897435897435897
-5.736500000000007,-5.762770000000001,91.919,19.0,8,HARD,CRÍTICO,6.99,Japanese Grand Prix,44,0.5714285714285714
-1.1019999999999897,-1.1016099999999962,75.62,17.0,2,MEDIUM,ALERTA,4.39,São Paulo Grand Prix,44,0.6197183098591549
16.586,17.71203000000001,114.524,2.0,20,MEDIUM,NORMAL,1.42,Pre-Season Testing,39,0.5131578947368421
-0.3189999999999884,0.011190000000002982,81.808,9.0,6,MEDIUM,CRÍTICO,6.69,Emilia Romagna Grand Prix,27,0.3857142857142857
8.022999999999996,8.646889999999996,86.527,24.0,12,INTERMEDIATE,NORMAL,2.06,Canadian Grand Prix,24,0.3076923076923077
-1.205500000000015,-2.491745000000009,102.27,16.0,2,HARD,ALERTA,4.0,Pre-Season Test,50,0.6944444444444444
1.3024999999999949,1.2470600000000005,98.958,10.0,17,MEDIUM,CRÍTICO,6.77,Japanese Grand Prix,26,0.3376623376623376
0.45599999999998886,2.334939999999998,78.96,24.0,11,HARD,CRÍTICO,7.1,Canadian Grand Prix,33,0.4714285714285714
30.165999999999997,17.04484,106.95,13.0,6,HARD,NORMAL,1.9,Dutch Grand Prix,56,0.7777777777777778
-1.7520000000000095,-1.407605000000002,75.032,16.0,7,SOFT,NORMAL,2.32,Dutch Grand Prix,63,0.875
-0.5005000000000166,-0.36811500000001046,102.975,16.0,9,HARD,NORMAL,1.88,Pre-Season Test,38,0.5277777777777778
-3.1480000000000103,-2.897080000000006,109.067,14.0,10,MEDIUM,NORMAL,1.44,Belgian Grand Prix,27,0.3552631578947368
29.84700000000001,10.719689999999996,124.816,3.0,17,HARD,NORMAL,1.22,Saudi Arabian Grand Prix,16,0.2222222222222222
11.933499999999995,11.47164,111.455,7.0,11,SOFT,NORMAL,1.71,Singapore Grand Prix,47,0.6527777777777778
0.16800000000000637,0.20705500000000399,71.241,9.0,8,MEDIUM,CRÍTICO,6.46,Austrian Grand Prix,9,0.1184210526315789
2.1459999999999866,1.5003099999999967,96.323,8.0,18,SOFT,NORMAL,1.25,British Grand Prix,8,0.1052631578947368
-3.1570000000000107,-3.214510000000012,75.347,5.0,5,HARD,CRÍTICO,6.57,Canadian Grand Prix,42,0.5384615384615384
0.24500000000000455,0.20143999999999962,101.79,9.0,5,MEDIUM,ALERTA,4.08,United States Grand Prix,26,0.4642857142857143
-0.6610000000000014,2.576210000000005,83.704,9.0,9,HARD,ALERTA,4.17,Australian Grand Prix,17,0.293103448275862
-3.031000000000006,-2.7149300000000007,76.07,16.0,7,HARD,CRÍTICO,6.81,Monaco Grand Prix,34,0.4415584415584415
-0.6439999999999912,-0.22145999999999888,81.483,37.0,16,MEDIUM,CRÍTICO,7.66,Emilia Romagna Grand Prix,55,0.7746478873239436
-0.5280000000000058,0.08078499999999934,89.365,2.0,12,HARD,CRÍTICO,6.52,Abu Dhabi Grand Prix,19,0.3275862068965517
19.769499999999994,0.07491500000000158,123.245,8.0,3,HARD,ALERTA,3.99,Pre-Season Test,22,0.3055555555555556
17.298999999999992,11.635229999999993,104.711,7.0,5,MEDIUM,NORMAL,1.17,Qatar Grand Prix,7,0.0921052631578947
-4.700000000000003,-4.669130000000006,107.515,11.0,6,MEDIUM,ALERTA,3.5,Belgian Grand Prix,23,0.3026315789473684
1.4735000000000156,0.6586900000000139,82.938,23.0,16,HARD,CRÍTICO,7.42,Spanish Grand Prix,52,0.7323943661971831
0.9684999999999917,2.3071799999999967,98.624,6.0,11,SOFT,NORMAL,1.19,Japanese Grand Prix,7,0.0921052631578947
0.9249999999999972,1.2471849999999993,90.818,7.0,9,MEDIUM,ALERTA,4.03,Abu Dhabi Grand Prix,7,0.1206896551724138
-0.12600000000000477,-0.0824849999999978,84.136,12.0,2,HARD,ALERTA,4.53,Hungarian Grand Prix,29,0.4142857142857143
15.612000000000009,3.754874999999999,99.15,9.0,3,HARD,NORMAL,2.27,Mexico City Grand Prix,33,0.4647887323943662
-0.2155000000000058,0.49561999999999173,103.26,4.0,16,MEDIUM,NORMAL,1.22,Pre-Season Test,14,0.2
2.3910000000000053,2.2949800000000007,81.492,11.0,15,HARD,CRÍTICO,6.49,Monaco Grand Prix,11,0.1447368421052631
-3.9440000000000026,-2.7185700000000037,93.994,2.0,4,MEDIUM,CRÍTICO,5.96,Pre-Season Testing,2,0.0384615384615384
-2.3049999999999926,-1.8114799999999933,74.417,8.0,13,SOFT,CRÍTICO,6.72,São Paulo Grand Prix,37,0.4868421052631579
-0.7309999999999945,-0.11442499999999739,81.396,25.0,18,HARD,CRÍTICO,7.19,Emilia Romagna Grand Prix,56,0.7368421052631579
-1.1119999999999948,-0.5026599999999966,69.961,13.0,3,HARD,CRÍTICO,7.11,Austrian Grand Prix,59,0.7564102564102564
